State,Year,0 to 11,12 to 17,Male,Female,Unknown Gender,White,Black,Amer. Indian/Alaskan Native,Asian/Nat. Hawaiian/Pac Isl,Unknown Race,Pattern
IN,2001,-0.34596717777600594,-0.30098886263831387,-0.28387230819691095,-0.632546551198449,-0.10510389060631,-0.18455482923271008,-0.3303868848084892,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,2002,-0.34596717777600594,-0.21603880070739517,-0.23917340466847054,-0.014718253531496415,-0.10510389060631,-0.1452640377929376,-0.24949570062233994,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,2003,-0.34596717777600594,-0.30098886263831387,-0.32857121172535136,-0.014718253531496415,-0.10510389060631,-0.1452640377929376,-0.45172366108771317,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,2004,-0.34596717777600594,-0.4708889865001512,-0.4626679223106726,-0.632546551198449,-0.10510389060631,-0.3810087864315725,-0.4921692531807878,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,2005,-0.34596717777600594,-0.30098886263831387,-0.30622175996113116,-0.3236324023649727,-0.10510389060631,-0.2631364121122551,-0.2899412927154146,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,2006,-0.34596717777600594,-0.21603880070739517,-0.2168239529042503,-0.632546551198449,2.759369307111929,-0.3024272035520275,-0.12815892434311604,-0.3365566445941464,-0.2264911699210134,0.5785104663102237,0
IN,2007,-0.34596717777600594,-0.21603880070739517,-0.23917340466847054,-0.3236324023649727,2.759369307111929,-0.2631364121122551,-0.2090501085292653,-0.3365566445941464,-0.2264911699210134,1.3314399826911705,0
IN,2008,-0.34596717777600594,-0.30098886263831387,-0.28387230819691095,-0.632546551198449,-0.10510389060631,-0.22384562067248256,-0.37083247690156385,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,2009,-0.34596717777600594,-0.10985122329374682,-0.10507669408314926,-0.3236324023649727,-0.10510389060631,-0.22384562067248256,-0.006822148063892121,-0.3365566445941464,-0.2264911699210134,0.5785104663102237,0
IN,2010,-0.34596717777600594,-0.1948012852246655,-0.1944745011400301,-0.3236324023649727,-0.10510389060631,-0.3024272035520275,-0.0877133322500414,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,2011,-0.34596717777600594,-0.2585138316728545,-0.23917340466847054,-0.632546551198449,-0.10510389060631,-0.1059732463531651,-0.3303868848084892,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,2012,-0.34596717777600594,0.03881138508536087,-0.015678887026268417,0.29419589530197987,-0.10510389060631,0.011899127966152351,-0.04726774015696676,-0.3365566445941464,-0.2264911699210134,1.3314399826911705,0
